date,swe,snow_depth,precip,airtemp,airtemp_max,airtemp_avg,soilm_p2,soilm_p4,soilm_p8,soilm_p20,soilm_p40,site_code,state,year,doy,month,density_calc,d_soilm_p2,peak_swe,sm_pulse_flag
1/1/2023,21.59,104.14,0.508,-4.5,0,-4.611111111,3.7,5.5,4.6,6.5,NA,335,CO,2023,1,1,207.3170732,0,120,0
1/2/2023,21.844,101.6,0,-7.277777778,-2.777777778,-9.722222222,3.7,5,5.4,5.1,NA,335,CO,2023,2,1,215,0,120,0
1/3/2023,21.844,101.6,0,-12.11111111,-7.222222222,-12.88888889,3.9,4.8,4.6,6.2,NA,335,CO,2023,3,1,215,0.2,120,0
1/4/2023,22.352,109.22,0.508,-15.5,-10.88888889,-15.5,4,5.3,5.5,5.6,NA,335,CO,2023,4,1,204.6511628,0.1,120,0
1/5/2023,22.352,104.14,0.508,-18.38888889,0.111111111,-11.11111111,3.9,5.5,5.4,5.5,NA,335,CO,2023,5,1,214.6341463,-0.1,120,0
1/6/2023,22.606,96.52,0.254,-8,-4.722222222,-9.388888889,4.1,5.1,5.4,5.8,NA,335,CO,2023,6,1,234.2105263,0.2,120,0
1/7/2023,23.368,106.68,0.508,-10.72222222,-6.388888889,-11.27777778,4,5.5,5.5,5.2,NA,335,CO,2023,7,1,219.047619,-0.1,120,0
1/8/2023,23.622,106.68,0.254,-15.61111111,1.5,-9.222222222,4,5.3,5.3,5.6,NA,335,CO,2023,8,1,221.4285714,0,120,0
1/9/2023,23.876,106.68,0.254,-13.88888889,0,-7.611111111,4.1,4.6,5.8,5.2,NA,335,CO,2023,9,1,223.8095238,0.1,120,0
1/10/2023,23.876,96.52,0.254,-8.777777778,-1.222222222,-5.5,4.3,5,4.8,6,NA,335,CO,2023,10,1,247.3684211,0.2,120,0
1/11/2023,24.13,101.6,0.508,-6,-5.611111111,-10.38888889,4.1,4.7,4.6,6.5,NA,335,CO,2023,11,1,237.5,-0.2,120,0
1/12/2023,24.892,109.22,0.254,-14.22222222,-3.722222222,-11.88888889,4.2,5.2,5.2,6,NA,335,CO,2023,12,1,227.9069767,0.1,120,0
1/13/2023,24.892,106.68,0.508,-13.27777778,3.888888889,-5.888888889,4.4,5.1,5.4,5.6,NA,335,CO,2023,13,1,233.3333333,0.2,120,0
1/14/2023,25.146,104.14,0,-2.888888889,4,-3.722222222,4.4,5.2,4.6,6.3,NA,335,CO,2023,14,1,241.4634146,0,120,0
1/15/2023,25.4,96.52,0,-9,-3.5,-8.277777778,4.2,5.3,5,5.8,NA,335,CO,2023,15,1,263.1578947,-0.2,120,0
1/16/2023,25.654,104.14,0.254,-11.27777778,-3,-10.61111111,4.4,5.1,4.8,6.8,NA,335,CO,2023,16,1,246.3414634,0.2,120,0
1/17/2023,25.654,106.68,0.254,-12.38888889,-0.277777778,-9.722222222,4.3,5.3,4.8,6.1,NA,335,CO,2023,17,1,240.4761905,-0.1,120,0
1/18/2023,26.416,111.76,1.016,-13.11111111,-12,-14.5,4.4,5.3,4.8,6.2,NA,335,CO,2023,18,1,236.3636364,0.1,120,0
1/19/2023,27.178,116.84,1.016,-18.11111111,-3.611111111,-13.88888889,4.4,4.9,5.7,6.1,NA,335,CO,2023,19,1,232.6086957,0,120,0
1/20/2023,27.94,111.76,0,-13.11111111,-11.38888889,-14.61111111,4.3,5.1,4.8,6.6,NA,335,CO,2023,20,1,250,-0.1,120,0
1/21/2023,27.94,109.22,0,-16,-13,-16.5,4.4,5.2,5.1,5.9,NA,335,CO,2023,21,1,255.8139535,0.1,120,0
1/22/2023,28.194,111.76,0.508,-17.11111111,-2.888888889,-12.38888889,4.6,5.1,4.9,5.9,NA,335,CO,2023,22,1,252.2727273,0.2,120,0
1/23/2023,28.194,106.68,0,-13.72222222,-4.5,-12.5,4.4,4.9,5.4,5.4,NA,335,CO,2023,23,1,264.2857143,-0.2,120,0
1/24/2023,28.194,109.22,0.254,-14.61111111,-11.11111111,-15.61111111,4.4,5.5,5.5,5.3,NA,335,CO,2023,24,1,258.1395349,0,120,0
1/25/2023,28.448,111.76,0.254,-19.5,-13.5,-18.72222222,4.3,5.5,5.5,5.2,NA,335,CO,2023,25,1,254.5454545,-0.1,120,0
1/26/2023,28.702,111.76,0.762,-19.77777778,-12.77777778,-17.61111111,4.3,4.9,5.2,6.6,NA,335,CO,2023,26,1,256.8181818,0,120,0
