Date,Snow.Water.Equivalent..in..Start.of.Day.Values,Snow.Depth..in..Start.of.Day.Values,Precipitation.Increment..in.,Air.Temperature.Observed..degF..Start.of.Day.Values,Air.Temperature.Maximum..degF.,Air.Temperature.Average..degF.,Soil.Moisture.Percent..2in..pct..Start.of.Day.Values,Soil.Moisture.Percent..4in..pct..Start.of.Day.Values,Soil.Moisture.Percent..8in..pct..Start.of.Day.Values,Soil.Moisture.Percent..20in..pct..Start.of.Day.Values,Soil.Moisture.Percent..40in..pct..Start.of.Day.Values,site_name,state_name
1/1/2023,8.5,41,0.2,23.9,32,23.7,3.7,5.5,4.6,6.5,NA,335,CO
1/2/2023,8.6,40,0,18.9,27,14.5,3.7,5,5.4,5.1,NA,335,CO
1/3/2023,8.6,40,0,10.2,19,8.8,3.9,4.8,4.6,6.2,NA,335,CO
1/4/2023,8.8,43,0.2,4.1,12.4,4.1,4,5.3,5.5,5.6,NA,335,CO
1/5/2023,8.8,41,0.2,-1.1,32.2,12,3.9,5.5,5.4,5.5,NA,335,CO
1/6/2023,8.9,38,0.1,17.6,23.5,15.1,4.1,5.1,5.4,5.8,NA,335,CO
1/7/2023,9.2,42,0.2,12.7,20.5,11.7,4,5.5,5.5,5.2,NA,335,CO
1/8/2023,9.3,42,0.1,3.9,34.7,15.4,4,5.3,5.3,5.6,NA,335,CO
1/9/2023,9.4,42,0.1,7,32,18.3,4.1,4.6,5.8,5.2,NA,335,CO
1/10/2023,9.4,38,0.1,16.2,29.8,22.1,4.3,5,4.8,6,NA,335,CO
1/11/2023,9.5,40,0.2,21.2,21.9,13.3,4.1,4.7,4.6,6.5,NA,335,CO
1/12/2023,9.8,43,0.1,6.4,25.3,10.6,4.2,5.2,5.2,6,NA,335,CO
1/13/2023,9.8,42,0.2,8.1,39,21.4,4.4,5.1,5.4,5.6,NA,335,CO
1/14/2023,9.9,41,0,26.8,39.2,25.3,4.4,5.2,4.6,6.3,NA,335,CO
1/15/2023,10,38,0,15.8,25.7,17.1,4.2,5.3,5,5.8,NA,335,CO
1/16/2023,10.1,41,0.1,11.7,26.6,12.9,4.4,5.1,4.8,6.8,NA,335,CO
1/17/2023,10.1,42,0.1,9.7,31.5,14.5,4.3,5.3,4.8,6.1,NA,335,CO
1/18/2023,10.4,44,0.4,8.4,10.4,5.9,4.4,5.3,4.8,6.2,NA,335,CO
1/19/2023,10.7,46,0.4,-0.6,25.5,7,4.4,4.9,5.7,6.1,NA,335,CO
1/20/2023,11,44,0,8.4,11.5,5.7,4.3,5.1,4.8,6.6,NA,335,CO
1/21/2023,11,43,0,3.2,8.6,2.3,4.4,5.2,5.1,5.9,NA,335,CO
1/22/2023,11.1,44,0.2,1.2,26.8,9.7,4.6,5.1,4.9,5.9,NA,335,CO
1/23/2023,11.1,42,0,7.3,23.9,9.5,4.4,4.9,5.4,5.4,NA,335,CO
1/24/2023,11.1,43,0.1,5.7,12,3.9,4.4,5.5,5.5,5.3,NA,335,CO
1/25/2023,11.2,44,0.1,-3.1,7.7,-1.7,4.3,5.5,5.5,5.2,NA,335,CO
1/26/2023,11.3,44,0.3,-3.6,9,0.3,4.3,4.9,5.2,6.6,NA,335,CO
1/27/2023,11.5,45,0.5,6.1,24.3,11.5,4.4,5.1,5.9,6.1,NA,335,CO
1/28/2023,12.1,51,0.2,9.7,17.6,9,4.2,4.7,5.8,6,NA,335,CO
1/29/2023,12.3,51,0.1,6.4,20.3,11.8,4.1,5,5.2,5.7,NA,335,CO
1/30/2023,12.4,49,0.1,11.1,14.2,5.2,4,5.1,5.2,5.5,NA,335,CO
1/31/2023,12.7,52,0.4,-7.4,14.2,-3.6,4.1,4.7,5.3,6.9,NA,335,CO
2/1/2023,12.8,50,0.1,-3.6,20.5,5.5,4,4.9,4.7,6.2,NA,335,CO
2/2/2023,12.8,49,0,9,28.4,10.9,4.1,5,5,5.6,NA,335,CO
2/3/2023,12.8,48,0,7.2,37.9,17.1,3.9,4.9,4.6,6.4,NA,335,CO
2/4/2023,12.9,48,0,10.9,30.2,19.2,3.9,4.8,4.4,6.5,NA,335,CO
2/5/2023,12.9,47,0.1,14,40.1,24.1,4,4.3,5.5,5.6,NA,335,CO
2/6/2023,12.9,46,0.1,14.5,17.1,8.1,4.1,4.4,5.5,6.2,NA,335,CO
2/7/2023,13,49,0,2.3,27.3,9.1,4,4.3,5.8,6.4,NA,335,CO
2/8/2023,13,48,0.2,1.2,24.1,9.1,3.9,4.8,4.9,5.6,NA,335,CO
2/9/2023,13.3,50,0.1,-2.7,9,-0.8,4,4.1,6,6.2,NA,335,CO
2/10/2023,13.3,50,0.1,-8.5,32.4,17.6,4,4.2,5.7,5.8,NA,335,CO
2/11/2023,13.4,50,0,15.4,45.5,26.8,3.7,4.5,5.3,5.9,NA,335,CO
2/12/2023,13.4,49,0,16.5,35.2,19,3.9,4.2,4.9,6.3,NA,335,CO
2/13/2023,13.4,49,0.1,12.7,38.5,21.2,3.7,4.7,5.1,5.8,NA,335,CO
2/14/2023,13.5,49,0,14.5,22.1,9.9,3.7,4.6,4.7,6.2,NA,335,CO
2/15/2023,13.5,49,0.1,-1.5,-0.2,-4.5,3.6,3.6,5.1,5.8,NA,335,CO
2/16/2023,13.5,47,0,-7.2,11.7,-2.9,3.7,3.8,4.6,6.2,NA,335,CO
2/17/2023,13.6,48,0.1,-2.9,32.9,13.8,3.9,3.8,4.7,5.9,NA,335,CO
2/18/2023,13.6,47,0.1,13.6,33.3,15.3,3.7,3.9,5.2,6,NA,335,CO
2/19/2023,13.6,47,0.1,14.4,16.7,12.2,3.8,4.1,5,6.3,NA,335,CO
2/20/2023,13.7,48,0.1,13.1,30.7,17.4,3.7,3.8,5,6,NA,335,CO
2/21/2023,13.8,48,0.1,11.7,39.2,22.6,3.6,4.4,5,5.7,NA,335,CO
2/22/2023,13.8,47,0.3,15.6,21.4,10,3.5,4.1,4.6,6.3,NA,335,CO
2/23/2023,13.8,52,0.1,-3.1,13.1,2.7,3.6,4.2,5.2,5.8,NA,335,CO
2/24/2023,13.9,51,0.1,3.9,15.8,9.9,3.6,3.9,4.7,6.3,NA,335,CO
